Variable,Coefficient,Std. Error,t-stat,p-value
const,2.5883***,0.4761,5.437,0.0000
Interaction_Pess_Sim,-0.1115,0.1860,-0.600,0.5495
DELTA_MRO_announcement,-3.0833*,1.8244,-1.690,0.0929
INFLATION,0.2863,0.1998,1.433,0.1539
OUTPUT_GAP,-0.6256***,0.1858,-3.367,0.0010
